Alabama,AL,Montgomery,50750,4447100
Alaska,AK,Juneau,570374,626932
Arizona,AZ,Phoenix,114000,5130632
Arkansas,AR,Little Rock,52075,2673400
California,CA,Sacramento,155973,33871648
Colorado,CO,Denver,103730,4301261
Connecticut,CT,Hartford,4845,3405565
Delaware,DE,Dover,1982,783600
Florida,FL,Tallahassee,53997,15982378
Georgia,GA,Atlanta,57919,8186453
Hawaii,HI,Honolulu,6243,1211537
Idaho,ID,Boise,82751,1293953
Illinois,IL,Springfield,55593,12419293
Indiana,IN,Indianapolis,35870,6080485
Iowa,IA,Des Moines,55875,2926324
Kansas,KS,Topeka,81823,2688418
Kentucky,KY,Frankfort,39732,4041769
Louisiana,LA,Baton Rouge,43566,4468976
Maine,ME,Augusta,30865,1274923
Maryland,MD,Annapolis,9775,5296486
Massachusetts,MA,Boston,7838,6349097
Michigan,MI,Lansing,58110,9938444
Minnesota,MN,St. Paul,79617,4919479
Mississippi,MS,Jackson,46914,2844658
Missouri,MO,Jefferson City,68898,5595211
Montana,MT,Helena,145556,902195
Nebraska,NE,Lincoln,76664,1711263
Nevada,NV,Carson City,109806,1998257
New Hampshire,NH,Concord,8969,1235786
New Jersey,NJ,Trenton,7419,8414350
New Mexico,NM,Santa Fe,121365,1819046
New York,NY,Albany,47224,18976457
North Carolina,NC,Raleigh,48718,8049313
North Dakota,ND,Bismark,68994,642200
Ohio,OH,Columbus,40953,11353140
Oklahoma,OK,Oklahoma City,68679,3450654
Oregon,OR,Salem,96003,3421399
Pennsylvania,PA,Harrisburg,44820,12281054
Rhode Island,RI,Providence,1045,1048319
South Carolina,SC,Columbia,30111,4012012
South Dakota,SD,Pierre,75898,754844
Tennessee,TN,Nashville,41220,5689283
Texas,TX,Austin,261914,20851820
Utah,UT,Salt Lake City,82168,2233169
Vermont,VT,Montpelier,9249,608827
Virginia,VA,Richmond,39598,7078515
Washington,WA,Olympia,66582,5894121
West Virginia,WV,Charleston,24087,1808344
Wisconsin,WI,Madison,54314,5363675
Wyoming,WY,Cheyenne,97105,493782
